Cd;Contrt;Mod;DtContr;DtVencOp;VlrContr;ID_VENC;TIPO;VALOR;VlrProxParcela;DtaProxParcela;QtdParcelas
82944458;1601122;1350;13/01/2022;13/02/2022;50,33;0;v110;50,33;50,33;13/02/2022;1
82989125;2036996;1350;13/01/2022;13/02/2022;1176,67;0;v110;1176,67;1176,67;13/02/2022;1
82989125;2154250;1350;15/01/2022;15/02/2022;199,42;0;v110;199,42;199,42;15/02/2022;1
82992428;1695157;1350;20/01/2022;20/02/2022;53,3;0;v110;53,3;53,3;20/02/2022;1
82992428;1774212;1350;20/01/2022;20/02/2022;91,99;0;v110;91,99;91,99;20/02/2022;1
83007474;1451383;1350;08/01/2022;08/02/2022;7,72;0;v110;7,72;7,72;08/02/2022;1
83078304;2290260;1350;15/01/2022;15/02/2022;26,15;0;v110;26,15;26,15;15/02/2022;1
83612580;2329610;1350;23/01/2022;23/02/2022;236,46;0;v110;236,46;236,46;23/02/2022;1
83853359;397961;1350;15/01/2022;15/02/2022;0,37;0;v110;0,37;0,37;15/02/2022;1
84219785;1780170;1350;15/01/2022;15/02/2022;3,88;0;v110;3,88;3,88;15/02/2022;1
84423552;2269488;1350;08/01/2022;08/02/2022;24,52;0;v110;24,52;24,52;08/02/2022;1
84423552;2345458;1350;05/01/2022;05/02/2022;14,52;0;v110;14,52;14,52;05/02/2022;1
84508388;2338384;1350;08/01/2022;08/02/2022;10,45;0;v110;10,45;10,45;08/02/2022;1
85175331;2346140;1350;13/01/2022;13/02/2022;16,03;0;v110;16,03;16,03;13/02/2022;1
85635359;1398088;1350;20/01/2022;20/02/2022;3,21;0;v110;3,21;3,21;20/02/2022;1
86048350;2373985;1350;15/01/2022;15/02/2022;5,03;0;v110;5,03;5,03;15/02/2022;1
86184377;633767;1350;15/01/2022;15/02/2022;2,16;0;v110;2,16;2,16;15/02/2022;1
86502506;2362870;1350;01/01/2022;01/02/2022;262,06;0;v110;262,06;262,06;01/02/2022;1
86848399;2178492;1350;13/01/2022;13/02/2022;37,97;0;v110;37,97;37,97;13/02/2022;1
87147386;1975227;1350;23/01/2022;23/02/2022;5,18;0;v110;5,18;5,18;23/02/2022;1
87328330;183641;1350;10/01/2022;10/02/2022;0,24;0;v110;0,24;0,24;10/02/2022;1
87663120;1858148;1350;20/01/2022;20/02/2022;11,7;0;v110;11,7;11,7;20/02/2022;1
87850150;2294010;1350;15/01/2022;15/02/2022;30,21;0;v110;30,21;30,21;15/02/2022;1
88353303;1765264;1350;13/01/2022;13/02/2022;5,65;0;v110;5,65;5,65;13/02/2022;1
88993396;207954;1350;10/01/2022;10/02/2022;161,79;0;v110;161,79;161,79;10/02/2022;1
89481356;1671313;1350;23/01/2022;23/02/2022;2,91;0;v110;2,91;2,91;23/02/2022;1
89503260;2294077;1350;20/01/2022;20/02/2022;4,47;0;v110;4,47;4,47;20/02/2022;1
89554337;1047659;1350;25/01/2022;25/02/2022;7,22;0;v110;7,22;7,22;25/02/2022;1
89554337;741662;1350;01/01/2022;01/02/2022;15,61;0;v110;15,61;15,61;01/02/2022;1
89954351;2422798;1350;08/01/2022;08/02/2022;0,3;0;v110;0,3;0,3;08/02/2022;1
90710240;2239720;1350;23/01/2022;23/02/2022;3,02;0;v110;3,02;3,02;23/02/2022;1
91220360;305290;1350;10/01/2022;10/02/2022;1,97;0;v110;1,97;1,97;10/02/2022;1
91314348;1406585;1350;10/01/2022;10/02/2022;3,96;0;v110;3,96;3,96;10/02/2022;1
91765358;245543;1350;10/01/2022;10/02/2022;13,69;0;v110;13,69;13,69;10/02/2022;1
91795346;1386233;1350;20/01/2022;20/02/2022;1;0;v110;1;1;20/02/2022;1
91797390;2362039;1350;23/01/2022;23/02/2022;1,24;0;v110;1,24;1,24;23/02/2022;1
92015565;2014506;1350;23/01/2022;23/02/2022;12,5;0;v110;12,5;12,5;23/02/2022;1
92474594;2119844;1350;15/01/2022;15/02/2022;58,09;0;v110;58,09;58,09;15/02/2022;1
92593330;2143076;1350;13/01/2022;13/02/2022;163,53;0;v110;163,53;163,53;13/02/2022;1
92787371;642368;1350;01/01/2022;01/02/2022;3,15;0;v110;3,15;3,15;01/02/2022;1
92947328;2444871;1350;15/01/2022;15/02/2022;3,75;0;v110;3,75;3,75;15/02/2022;1
92989403;2365748;1350;05/01/2022;05/02/2022;5,36;0;v110;5,36;5,36;05/02/2022;1
93170319;2131235;1350;13/01/2022;13/02/2022;2,19;0;v110;2,19;2,19;13/02/2022;1
93194170;2433168;1350;15/01/2022;15/02/2022;18,74;0;v110;18,74;18,74;15/02/2022;1
93216165;2184757;1350;08/01/2022;08/02/2022;5,86;0;v110;5,86;5,86;08/02/2022;1
93263163;1903579;1350;20/01/2022;20/02/2022;3,51;0;v110;3,51;3,51;20/02/2022;1
93591330;1827686;1350;20/01/2022;20/02/2022;6,41;0;v110;6,41;6,41;20/02/2022;1
93665393;1994167;1350;08/01/2022;08/02/2022;1,67;0;v110;1,67;1,67;08/02/2022;1
93735359;2422105;1350;08/01/2022;08/02/2022;6,26;0;v110;6,26;6,26;08/02/2022;1
93859597;1823059;1350;08/01/2022;08/02/2022;18,56;0;v110;18,56;18,56;08/02/2022;1
94393664;2374021;1350;15/01/2022;15/02/2022;0,95;0;v110;0,95;0,95;15/02/2022;1
94430454;1879340;1350;15/01/2022;15/02/2022;37,58;0;v110;37,58;37,58;15/02/2022;1
94430454;2225806;1350;08/01/2022;08/02/2022;140,64;0;v110;140,64;140,64;08/02/2022;1
94643369;1584854;1350;03/01/2022;03/02/2022;3,55;0;v110;3,55;3,55;03/02/2022;1
94698422;1795614;1350;03/01/2022;03/02/2022;25,21;0;v110;25,21;25,21;03/02/2022;1
94699585;2377676;1350;05/01/2022;05/02/2022;5,11;0;v110;5,11;5,11;05/02/2022;1
94760403;1504889;1350;15/01/2022;15/02/2022;104,26;0;v110;104,26;104,26;15/02/2022;1
95165304;1894731;1350;23/01/2022;23/02/2022;2,14;0;v110;2,14;2,14;23/02/2022;1
95658416;1742809;1350;08/01/2022;08/02/2022;6,89;0;v110;6,89;6,89;08/02/2022;1
95763120;2040125;1350;08/01/2022;08/02/2022;11,89;0;v110;11,89;11,89;08/02/2022;1
96182792;1791391;1350;08/01/2022;08/02/2022;9,07;0;v110;9,07;9,07;08/02/2022;1
96182792;2378456;1350;13/01/2022;13/02/2022;5,38;0;v110;5,38;5,38;13/02/2022;1
96398531;1764101;1350;08/01/2022;08/02/2022;5,05;0;v110;5,05;5,05;08/02/2022;1
96805510;2421142;1350;05/01/2022;05/02/2022;0,47;0;v110;0,47;0,47;05/02/2022;1
97557307;2407774;1350;15/01/2022;15/02/2022;2,55;0;v110;2,55;2,55;15/02/2022;1
97927406;2051250;1350;15/01/2022;15/02/2022;7,58;0;v110;7,58;7,58;15/02/2022;1
98028197;2115044;1350;03/01/2022;03/02/2022;10,16;0;v110;10,16;10,16;03/02/2022;1
98327186;2240526;1350;23/01/2022;23/02/2022;4,56;0;v110;4,56;4,56;23/02/2022;1
98419110;2078335;1350;23/01/2022;23/02/2022;255,45;0;v110;255,45;255,45;23/02/2022;1
98555138;2216245;1350;13/01/2022;13/02/2022;5,5;0;v110;5,5;5,5;13/02/2022;1
98629514;2151142;1350;08/01/2022;08/02/2022;43,84;0;v110;43,84;43,84;08/02/2022;1
98932101;1982148;1350;15/01/2022;15/02/2022;4,13;0;v110;4,13;4,13;15/02/2022;1
98975501;1919076;1350;10/01/2022;10/02/2022;2,42;0;v110;2,42;2,42;10/02/2022;1
99162377;2407556;1350;08/01/2022;08/02/2022;144,99;0;v110;144,99;144,99;08/02/2022;1
99190400;2260930;1350;23/01/2022;23/02/2022;6,84;0;v110;6,84;6,84;23/02/2022;1
99369397;2433888;1350;01/01/2022;01/02/2022;4,48;0;v110;4,48;4,48;01/02/2022;1
99481391;272262;1350;01/01/2022;01/02/2022;120,34;0;v110;120,34;120,34;01/02/2022;1
100103359;2369082;1350;08/01/2022;08/02/2022;30,25;0;v110;30,25;30,25;08/02/2022;1
100239331;1610610;1350;20/01/2022;20/02/2022;462,91;0;v110;462,91;462,91;20/02/2022;1
100239331;1683283;1350;01/01/2022;01/02/2022;22,93;0;v110;22,93;22,93;01/02/2022;1
100362370;1415446;1350;13/01/2022;13/02/2022;6,82;0;v110;6,82;6,82;13/02/2022;1
100596606;2396863;1350;08/01/2022;08/02/2022;4,08;0;v110;4,08;4,08;08/02/2022;1
100753647;2401703;1350;13/01/2022;13/02/2022;2,61;0;v110;2,61;2,61;13/02/2022;1
